,Title,URL,Description,Salary,Location,Degree Required,Hiring Multiple Candidates,Duration,Starting,Deadline
0,Graduate Electronics/Computer Science Software Engineer,https://www.gradcracker.com/hub/1221/acculink-technology/graduate-job/53750/graduate-electronics-computer-science-software-engineer,"Computer Science, Software, Technology.","£30,000",Cirencester (Gloucestershire),1 and above,Immediate Start,Ongoing,N/A,N/A
1,Graduate Software Development Engineer,https://www.gradcracker.com/hub/1010/nfocus/graduate-job/42930/graduate-software-development-engineer,"Computer Science, Software, Technology.",Competitive,London,All grades,Yes,Ongoing,N/A,N/A
2,Graduate Software Engineer,https://www.gradcracker.com/hub/881/bluesmith-information-systems/graduate-job/32847/graduate-software-engineer,"Software, Systems, Computer Science.",Competitive,Leeds,1 and above,Ongoing,N/A,N/A,N/A
3,Graduate Software Engineer,https://www.gradcracker.com/hub/906/the-mercedes-amg-petronas-formula-one-team/graduate-job/62308/graduate-software-engineer,"Computer Science, Maths, Physics, Software.",Competitive,Brackley,All grades,"August 18th, 2024",N/A,N/A,N/A
4,Graduate Software Engineer,https://www.gradcracker.com/hub/909/visa/graduate-job/61033/graduate-software-engineer,"Computer Science, Electrics, Electronics, Software.",Competitive,Warsaw (Poland),All grades,September 2024,Ongoing,N/A,N/A
5,Graduate Software Developer,https://www.gradcracker.com/hub/691/reply/graduate-job/62544/graduate-software-developer,"Computer Science, Software, IT, Web Development.",Competitive,"Manchester (Hybrid), London (Hybrid) and Sheffield (Hybrid)",1 and above,Ongoing,N/A,N/A,N/A
6,Graduate Software Developer,https://www.gradcracker.com/hub/691/reply/graduate-job/62215/graduate-software-developer,"Computer Science, Software, IT, Web Development.",Competitive,Sheffield (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
7,Graduate Software Developer,https://www.gradcracker.com/hub/1095/systra/graduate-job/62562/graduate-software-developer,"Computer Science, Software, IT, Data, Systems.",Competitive,Edinburgh,All grades,Ongoing,N/A,N/A,N/A
8,Embedded Software Engineering Graduate,https://www.gradcracker.com/hub/137/qinetiq/graduate-job/62376/embedded-software-engineering-graduate,"Software, Computer Science, IT, Maths.",Competitive,Farnborough (Hampshire),All grades,"August 26th, 2024",N/A,N/A,N/A
9,iOS Software Developers,https://www.gradcracker.com/hub/578/tpp/graduate-job/59926/ios-software-developers,"Computing, Software, Systems, AI.","Minimum £60,000 (depending on experience)",Leeds,1 and above,Yes,Ongoing,N/A,N/A
10,Android Software Developer,https://www.gradcracker.com/hub/578/tpp/graduate-job/59927/android-software-developer,"Computing, Software, Systems, AI.","Minimum £60,000 (depending on experience)",Leeds,1 and above,Yes,Ongoing,N/A,N/A
11,Graduate Software Developer (Mulesoft),https://www.gradcracker.com/hub/691/reply/graduate-job/62457/graduate-software-developer-mulesoft,"Computer Science, Software, IT, Web Development.",Competitive,Manchester (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
12,Graduate Software Developer (2024),https://www.gradcracker.com/hub/1255/accolite/graduate-job/60415/graduate-software-developer-2024,"IT, Computer Science, Software, Web Development, AI.",Competitive,Glasgow,All grades,Ongoing,N/A,N/A,N/A
13,2025 Graduate Programme – Technology,https://www.gradcracker.com/hub/418/bnp-paribas/graduate-job/62552/2025-graduate-programme-technology,"IT, Software, Analytics, Computer Science.",Competitive,London,All grades,August 2025,"September 22nd, 2024",N/A,N/A
14,Analyst Programme - Technology - Software Engineering - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62036/analyst-programme-technology-software-engineering-2025,"Analytics, FinTech, Software, IT, Data, AI.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
15,Software Engineering Graduate Programme - London,https://www.gradcracker.com/hub/308/fdm-group/graduate-job/62312/software-engineering-graduate-programme-london,"Computer Science, Software, Web Development, IT.",Competitive,London,2 and above,Yes,Ongoing,N/A,N/A
16,Graduate Software Security Engineer,https://www.gradcracker.com/hub/1088/cambridge-consultants/graduate-job/62121/graduate-software-security-engineer,"Computing, Software, Cyber Security, AI.",Competitive,Cambridge,1 and above,Ongoing,N/A,N/A,N/A
17,Software Developer – Graduate Programme,https://www.gradcracker.com/hub/488/peregrine-future-talent/graduate-job/62230/software-developer-graduate-programme,"Computing, IT, Web Development, Software.","£25,500",Multiple UK Locations,2 and above,Yes,October 2024,"August 27th, 2024",N/A
18,Software Engineer for Real Time Control Systems,https://www.gradcracker.com/hub/759/cern/graduate-job/61968/software-engineer-for-real-time-control-systems,"Software, Systems, Computer Science.","6,212 - 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,October 2024,"August 21st, 2024",N/A,N/A
19,"Junior Software Engineer (C++, Python)",https://www.gradcracker.com/hub/759/cern/graduate-job/62240/junior-software-engineer-c-python,"Software, Computing, Data, Physics.","5,134 - 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),All grades,October 2024,"September 1st, 2024",N/A,N/A
20,Technology Graduate Scheme 2025 - Singapore,https://www.gradcracker.com/hub/1232/marshall-wace/graduate-job/62300/technology-graduate-scheme-2025-singapore,"Software, IT, Computer Science, Data Science.",Competitive,Singapore,All grades,Yes,September 2025,Ongoing,N/A
21,Technology Graduate Scheme 2025 - London,https://www.gradcracker.com/hub/1232/marshall-wace/graduate-job/62298/technology-graduate-scheme-2025-london,"Software, IT, Computer Science, Data Science.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
22,"Junior Software Engineer (C++, Python)",https://www.gradcracker.com/hub/759/cern/graduate-job/62225/junior-software-engineer-c-python,"Web Development, Computing, Systems, Software.","5,134 - 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),Bachelor's or Master's,October 2024,"September 1st, 2024",N/A,N/A
23,Technology Graduate Scheme 2025 - New York,https://www.gradcracker.com/hub/1232/marshall-wace/graduate-job/62299/technology-graduate-scheme-2025-new-york,"Software, IT, Computer Science, Data Science.","$125,000 - $150,000",New York,All grades,Yes,September 2025,Ongoing,N/A
24,Technology Graduate Scheme 2025 - Hong Kong,https://www.gradcracker.com/hub/1232/marshall-wace/graduate-job/62301/technology-graduate-scheme-2025-hong-kong,"Software, IT, Computer Science, Data Science.",Competitive,Hong Kong,All grades,Yes,September 2025,Ongoing,N/A
25,"Junior Software Engineer (C/C++), Embedded Systems",https://www.gradcracker.com/hub/344/rina-consulting/graduate-job/59259/junior-software-engineer-c-c-embedded-systems,"Software, Systems, Computing.",Competitive,Chippenham (Wiltshire),2 and above,Ongoing,N/A,N/A,N/A
26,Graduate Technical Analysts,https://www.gradcracker.com/hub/839/ipsos-jarmany/graduate-job/38294/graduate-technical-analysts,"Computer Science, Technology, Data Science, Analytics, Software.","£25,000 rising progressively to £30,000",London,1 and above,Yes,Immediate Start,Ongoing,N/A
27,Graduate Technology Consultant Programme - November 2024 start,https://www.gradcracker.com/hub/973/sigma-labs/graduate-job/62108/graduate-technology-consultant-programme-november-2024-start,"Data Science, Computer Science, Software, IT, Cyber.","£30,000 in Year 1, £38,000 in Year 2",London,All grades,Yes,November 2024,"August 23rd, 2024",N/A
28,Implementation Specialists,https://www.gradcracker.com/hub/578/tpp/graduate-job/30062/implementation-specialists,"Technology, Software, Systems.","£45,000",Leeds,All grades,Yes,Ongoing,N/A,N/A
29,Graduate Software Developers,https://www.gradcracker.com/hub/578/tpp/graduate-job/32514/graduate-software-developers,"IT, Software, Systems.","Minimum £60,000 (depending on experience)",Leeds,1 and above,Yes,Ongoing,N/A,N/A
30,Analyst Programme - Technology - Technology Operations - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62040/analyst-programme-technology-technology-operations-2025,"Analytics, FinTech, IT, Data, Software, Cyber.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
31,Graduate Human Factors/Usability Engineer,https://www.gradcracker.com/hub/1088/cambridge-consultants/graduate-job/62175/graduate-human-factors-usability-engineer,"Technology, Product Design, Software, Data.",Competitive,Cambridge,All grades,Ongoing,N/A,N/A,N/A
32,Service Analyst,https://www.gradcracker.com/hub/578/tpp/graduate-job/27748/service-analyst,"Computer Science, Systems, Software.","£45,000",Leeds,2 and above,Yes,Ongoing,N/A,N/A
